,title,url,language,domain,date,query,company,topic,company_query,crawl_source
11,America's Climate Museum aims to help people take environmental action - KSBY News,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LmtzYnkuY29tL25ld3MvbmF0aW9uYWwvYW1lcmljYXMtY2xpbWF0ZS1tdXNldW0tYWltcy10by1oZWxwLXBlb3BsZS10YWtlLWVudmlyb25tZW50YWwtYWN0aW9u0gFyaHR0cHM6Ly93d3cua3NieS5jb20vbmV3cy9uYXRpb25hbC9hbWVyaWNhcy1jbGltYXRlLW11c2V1bS1haW1zLXRvLWhlbHAtcGVvcGxlLXRha2UtZW52aXJvbm1lbnRhbC1hY3Rpb24_X2FtcD10cnVl?oc=5,,https://www.ksby.com,2022-11-18 08:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
12,'This is our heritage': Woman saves graves from rising sea levels - CNN,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmNubi5jb20vdmlkZW9zL3VzLzIwMjIvMDYvMDIvb3V0ZXItYmFua3Mtbm9ydGgtY2Fyb2xpbmEtY2xpbWF0ZS1jaGFuZ2UtZXJvc2lvbi13ZWlyLWRudC1uZXdkYXktdnB4LmNubtIBdmh0dHBzOi8vYW1wLmNubi5jb20vY25uL3ZpZGVvcy91cy8yMDIyLzA2LzAyL291dGVyLWJhbmtzLW5vcnRoLWNhcm9saW5hLWNsaW1hdGUtY2hhbmdlLWVyb3Npb24td2Vpci1kbnQtbmV3ZGF5LXZweC5jbm4?oc=5,,https://www.cnn.com,2022-06-02 07:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
13,How the #BlackLivesMatter Movement Inspired Me to Tackle the ... - Global Citizen,https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3Lmdsb2JhbGNpdGl6ZW4ub3JnL2VuL2NvbnRlbnQvbGF0aW5hcy1mb3ItY2xpbWF0ZS1pbi1teS1vd24td29yZHMv0gEA?oc=5,,https://www.globalcitizen.org,2022-08-02 07:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
14,Patagonia new film shows US town killed by climate change - Fast Company,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmZhc3Rjb21wYW55LmNvbS85MDc0NDQyNy9wYXRhZ29uaWFzLW5ldy1maWxtLWlzLWEtaGF1bnRpbmctcG9ydHJhaXQtb2YtYW1lcmljYXMtZmlyc3QtY2xpbWF0ZS1yZWZ1Z2Vlc9IBAA?oc=5,,https://www.fastcompany.com,2022-04-22 07:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
15,The ‘Green Vortex’ Is Saving America’s Climate-Change Future - The Atlantic,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LnRoZWF0bGFudGljLmNvbS9zY2llbmNlL2FyY2hpdmUvMjAyMS8wNi9jbGltYXRlLWNoYW5nZS1ncmVlbi12b3J0ZXgtYW1lcmljYS82MTkyMjgv0gEA?oc=5,,https://www.theatlantic.com,2021-06-16 07:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
16,"Climate change potentially threatens Texas' food supply, according ... - KTRK-TV",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vYWJjMTMuY29tL2NsaW1hdGUtY2hhbmdlLXRleGFzLWZvb2Qtc3VwcGx5LWRlcGFydG1lbnQtb2YtYWdyaWN1bHR1cmUtdW5pdmVyc2l0eS1yaW8tZ3JhbmRlLXZhbGxleS8xMjY1MjU1NS_SAQA?oc=5,,https://abc13.com,2023-01-04 08:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
17,Kerry's Carbon Market Proposal Needs More Scrutiny Before It's ... - Forbes,https://news.google.com/rss/articles/CBMimAFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2dsb2JhbGNpdGl6ZW4vMjAyMi8xMS8xMS9rZXJyeXMtY2FyYm9uLW1hcmtldC1wcm9wb3NhbC1uZWVkcy1tb3JlLXNjcnV0aW55LWJlZm9yZS1pdHMtaGFpbGVkLWEtY2xpbWF0ZS1jaGFuZ2UtYnJlYWt0aHJvdWdoL9IBAA?oc=5,,https://www.forbes.com,2022-11-11 08:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
18,Cautious optimism on decarbonisation in Latin America after ... - Diálogo Chino,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vZGlhbG9nb2NoaW5vLm5ldC9lbi9jbGltYXRlLWVuZXJneS81NzExNi1sYXRpbi1hbWVyaWNhLWNsaW1hdGUtd2Vlay1jYXV0aW91cy1vcHRpbWlzbS1kZWNhcmJvbmlzYXRpb24v0gEA?oc=5,,https://dialogochino.net,2022-08-10 07:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
19,"Climate Brief: IRA's ""Uncapped"" Tax Credits Could ""Explode ... - Daily Kos",https://news.google.com/rss/articles/CBMikAFodHRwczovL3d3dy5kYWlseWtvcy5jb20vc3Rvcmllcy8yMDIyLzEwLzUvMjEyNzIwNC8tQ2xpbWF0ZS1CcmllZi1JUkEtcy1VbmNhcHBlZC1UYXgtQ3JlZGl0cy1Db3VsZC1FeHBsb2RlLUFtZXJpY2Etcy1FY29ub215P3V0bV9jYW1wYWlnbj1yZWNlbnTSAQA?oc=5,,https://www.dailykos.com,2022-10-05 07:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
20,How climate change is already impacting the Philadelphia region - WPVI-TV,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vNmFiYy5jb20vY2xpbWF0ZS1jaGFuZ2UtcGhpbGFkZWxwaGlhLWdsb2JhbC13YXJtaW5nLWRhcmJ5LWNyZWVrLWRlbGNvLWZsb29kaW5nLzEwNTE3NjcwL9IBAA?oc=5,,https://6abc.com,2021-04-15 07:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
